selling_price,km_driven,fuel,seller_type,transmission,owner,car_age
1470000,34000,Diesel,Dealer,Automatic,Second Owner,6
350000,53000,Diesel,Individual,Manual,Second Owner,5
2800000,49000,Diesel,Dealer,Automatic,First Owner,7
210000,15000,Petrol,Dealer,Manual,Second Owner,3
450000,50000,Petrol,Individual,Manual,First Owner,7
1150000,53000,Diesel,Dealer,Automatic,First Owner,7
210000,63500,Petrol,Dealer,Automatic,First Owner,11
4500000,9800,Petrol,Dealer,Automatic,First Owner,2
2750000,13000,Diesel,Individual,Automatic,First Owner,3
1975000,21000,Diesel,Dealer,Automatic,First Owner,2
175000,29173,Petrol,Dealer,Manual,First Owner,12
2500000,48000,Diesel,Dealer,Automatic,First Owner,8
628000,120000,Diesel,Individual,Manual,First Owner,3
600000,100000,Diesel,Individual,Manual,First Owner,10
399000,30000,Petrol,Individual,Manual,First Owner,3
750000,87000,Diesel,Individual,Manual,First Owner,2
750000,15000,Petrol,Individual,Manual,First Owner,1
315000,16000,Petrol,Individual,Manual,First Owner,3
600000,60000,Diesel,Individual,Manual,First Owner,8
100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,10
250000,110000,Petrol,Individual,Manual,Third Owner,9
350000,25000,Petrol,Individual,Manual,First Owner,3
780000,60000,Diesel,Individual,Manual,First Owner,4
434000,79350,Diesel,Individual,Manual,Second Owner,6
690000,80000,Petrol,Individual,Automatic,First Owner,4
555000,90000,Diesel,Individual,Manual,Second Owner,6
120000,90000,Petrol,Individual,Manual,Second Owner,13
500000,120000,Diesel,Individual,Manual,Second Owner,6
165000,60000,Diesel,Individual,Manual,Second Owner,7
95000,50000,Petrol,Individual,Manual,First Owner,16
550000,20000,Petrol,Individual,Manual,First Owner,2
100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,13
100000,50000,Petrol,Individual,Manual,Second Owner,8
500000,100000,Diesel,Individual,Manual,First Owner,8
800000,70000,Diesel,Individual,Manual,Second Owner,4
840000,70000,Diesel,Individual,Manual,Second Owner,4
490000,50000,Petrol,Individual,Manual,First Owner,4
125000,81000,Diesel,Individual,Manual,Second Owner,10
400000,120000,Diesel,Individual,Manual,Third Owner,8
1000000,3600,Diesel,Dealer,Manual,First Owner,5
530000,14272,Petrol,Dealer,Manual,First Owner,5
840000,49213,Diesel,Dealer,Manual,First Owner,3
229999,40000,Petrol,Individual,Manual,First Owner,5
40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,22
130000,80000,Petrol,Individual,Manual,First Owner,8
200000,70000,Petrol,Individual,Manual,First Owner,5
120000,70000,Diesel,Individual,Manual,First Owner,9
75000,57000,Petrol,Individual,Manual,First Owner,17
250000,120000,Diesel,Individual,Manual,First Owner,4
100000,30000,Petrol,Individual,Manual,First Owner,15
280000,3240,Petrol,Individual,Manual,Second Owner,7
540000,5000,Petrol,Individual,Manual,First Owner,5
700000,10000,Petrol,Individual,Manual,First Owner,2
525000,100000,Diesel,Individual,Manual,First Owner,5
430000,80000,Diesel,Individual,Manual,First Owner,4
65000,70000,Petrol,Individual,Manual,First Owner,18
800000,35000,Diesel,Individual,Manual,First Owner,2
75000,114000,Petrol,Individual,Manual,Second Owner,13
210000,53772,Petrol,Individual,Manual,First Owner,12
195000,140000,Diesel,Individual,Manual,Second Owner,8
400000,120000,Diesel,Individual,Manual,First Owner,5
170000,60000,Petrol,Individual,Manual,First Owner,8
225000,25000,Petrol,Individual,Manual,First Owner,4
210000,90000,LPG,Individual,Manual,First Owner,6
240000,120000,Petrol,Individual,Manual,First Owner,0
300000,175000,Diesel,Individual,Manual,First Owner,5
99000,100000,Petrol,Individual,Manual,Third Owner,9
620000,36000,Petrol,Individual,Manual,First Owner,6
500000,30000,Diesel,Individual,Manual,First Owner,7
2550000,40000,Petrol,Individual,Automatic,Second Owner,10
260000,70000,Petrol,Individual,Manual,Second Owner,7
550000,60000,Petrol,Individual,Manual,First Owner,3
150000,155500,Diesel,Individual,Manual,First Owner,9
350000,50000,Petrol,Individual,Automatic,Second Owner,9
320000,40000,Petrol,Individual,Manual,First Owner,4
400000,100000,Diesel,Individual,Manual,Third Owner,5
175000,80000,Petrol,Individual,Manual,Third Owner,8
120000,90000,Petrol,Individual,Manual,Second Owner,9
320000,90000,Diesel,Individual,Manual,Second Owner,7
70000,110000,Petrol,Individual,Manual,Third Owner,14
810000,15000,Petrol,Individual,Manual,First Owner,1
95000,100000,Petrol,Individual,Manual,Second Owner,13
282000,40000,CNG,Individual,Manual,First Owner,0
80000,60000,Petrol,Individual,Manual,Second Owner,16
72000,25000,Petrol,Individual,Manual,First Owner,7
600000,25000,Petrol,Individual,Manual,First Owner,4
640000,23000,Petrol,Individual,Manual,First Owner,5
380000,22155,Petrol,Individual,Manual,First Owner,2
650000,70000,Petrol,Individual,Manual,First Owner,2
150000,60000,Petrol,Individual,Manual,Second Owner,11
280000,110000,Petrol,Individual,Manual,Second Owner,11
430000,30000,Petrol,Individual,Manual,First Owner,2
800000,15000,Diesel,Individual,Manual,First Owner,1
75000,100000,Diesel,Individual,Manual,Second Owner,17
650000,70000,Diesel,Individual,Automatic,First Owner,4
390000,24000,Petrol,Individual,Manual,First Owner,3
100000,120000,Petrol,Individual,Manual,Second Owner,15
1500000,35000,Diesel,Individual,Automatic,First Owner,7
175000,78380,Petrol,Individual,Manual,First Owner,13
434999,110000,Diesel,Individual,Manual,Second Owner,8
170000,90000,Diesel,Individual,Manual,Third Owner,10
190000,90000,Diesel,Individual,Manual,Third Owner,9
250000,150000,Diesel,Individual,Manual,Third Owner,11
229999,230000,Diesel,Individual,Manual,Third Owner,11
140000,70000,Petrol,Individual,Manual,Third Owner,14
600000,80362,Diesel,Individual,Manual,First Owner,3
280000,110000,Petrol,Individual,Manual,Third Owner,8
150000,60000,Diesel,Individual,Manual,First Owner,8
650000,50000,Diesel,Individual,Automatic,First Owner,5
210000,40000,Petrol,Individual,Manual,Second Owner,6
2900000,40000,Diesel,Individual,Automatic,First Owner,3
425000,20000,Diesel,Dealer,Manual,First Owner,7
265000,55000,Petrol,Dealer,Manual,First Owner,6
890000,1136,Petrol,Dealer,Manual,First Owner,2
365000,55000,Petrol,Dealer,Manual,First Owner,7
350000,43000,Petrol,Dealer,Manual,First Owner,6
685000,60000,Diesel,Individual,Manual,First Owner,4
940000,2650,Diesel,Dealer,Manual,First Owner,2
1000000,40000,Diesel,Individual,Manual,First Owner,3
1150000,15000,Petrol,Dealer,Manual,First Owner,1
450000,115962,Diesel,Individual,Manual,Second Owner,4
590000,65000,Diesel,Dealer,Manual,First Owner,5
800000,40000,Diesel,Individual,Manual,First Owner,3
385000,58000,Diesel,Dealer,Manual,First Owner,8
2000000,15000,Diesel,Individual,Automatic,First Owner,7
235000,54000,Petrol,Dealer,Manual,First Owner,8
640000,56000,Diesel,Dealer,Manual,First Owner,3
52000,120000,Petrol,Individual,Manual,Third Owner,14
80000,90000,LPG,Individual,Manual,Second Owner,11
140000,70000,Petrol,Individual,Manual,Second Owner,8
120000,90000,Petrol,Individual,Manual,Second Owner,12
89999,213000,Diesel,Individual,Manual,First Owner,12
180000,120000,Diesel,Individual,Manual,First Owner,8
1500000,20000,Diesel,Individual,Manual,First Owner,3
700000,10000,Petrol,Individual,Manual,First Owner,3
285000,80000,Diesel,Individual,Manual,Second Owner,8
390000,90000,Petrol,Individual,Manual,First Owner,5
125000,80000,Petrol,Individual,Manual,First Owner,12
225000,60000,Petrol,Individual,Manual,Second Owner,12
175000,139000,Petrol,Individual,Manual,Second Owner,9
1075000,160000,Diesel,Individual,Manual,Second Owner,9
300000,150000,Diesel,Individual,Manual,First Owner,6
700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,10
90000,120000,Diesel,Dealer,Manual,First Owner,11
120000,120000,Diesel,Individual,Manual,Second Owner,9
220000,100000,Diesel,Individual,Manual,Second Owner,8
300000,140000,Diesel,Dealer,Manual,First Owner,5
180000,87000,Diesel,Dealer,Manual,Second Owner,10
170000,70000,Petrol,Individual,Manual,First Owner,7
300000,50000,Petrol,Individual,Manual,Second Owner,5
1050000,70000,Diesel,Individual,Manual,First Owner,6
465000,25000,Diesel,Individual,Manual,First Owner,2
130000,80000,Diesel,Individual,Manual,Second Owner,9
434999,10000,Petrol,Individual,Manual,First Owner,2
500000,32000,Petrol,Individual,Manual,First Owner,2
200000,10000,Petrol,Individual,Manual,First Owner,2
625000,52000,Petrol,Dealer,Manual,First Owner,3
110000,120000,Diesel,Individual,Manual,Third Owner,14
800000,11240,Petrol,Individual,Manual,First Owner,1
490000,66000,Diesel,Dealer,Manual,First Owner,3
880000,64000,Diesel,Dealer,Manual,First Owner,3
290000,49000,Petrol,Individual,Manual,First Owner,7
115999,100000,Diesel,Individual,Manual,Second Owner,14
360000,26500,Petrol,Individual,Manual,First Owner,2
65000,100000,Petrol,Individual,Manual,Second Owner,18
685000,72000,Diesel,Dealer,Manual,First Owner,3
300000,50000,Petrol,Individual,Manual,First Owner,11
680000,44000,Diesel,Dealer,Manual,First Owner,3
1000000,60000,Diesel,Individual,Manual,Second Owner,3
100000,120000,Diesel,Individual,Manual,First Owner,18
160000,130000,Diesel,Individual,Manual,First Owner,10
450000,70000,Diesel,Individual,Manual,First Owner,3
600000,20000,Petrol,Individual,Manual,First Owner,6
180000,60000,Diesel,Individual,Manual,Second Owner,11
100000,195000,Petrol,Individual,Manual,First Owner,13
120000,90000,Petrol,Individual,Manual,Second Owner,10
130000,80000,Petrol,Individual,Manual,Third Owner,14
160000,155000,Petrol,Individual,Manual,First Owner,9
860000,35000,Diesel,Individual,Manual,First Owner,1
650000,20000,Petrol,Individual,Manual,Second Owner,2
100000,80000,Petrol,Individual,Manual,Second Owner,10
282000,20000,Petrol,Individual,Manual,First Owner,3
300000,50000,Petrol,Individual,Manual,First Owner,11
270000,110000,Petrol,Individual,Manual,Second Owner,10
550000,29000,Diesel,Individual,Manual,First Owner,7
450000,120000,Diesel,Individual,Manual,First Owner,7
430000,70000,Diesel,Individual,Manual,Second Owner,9
350000,40000,Petrol,Individual,Manual,First Owner,7
350000,20000,Petrol,Individual,Manual,First Owner,3
229999,50000,Petrol,Individual,Manual,Second Owner,7
110000,50000,Petrol,Individual,Manual,First Owner,7
395000,49000,Petrol,Individual,Manual,Second Owner,8
650000,70000,Diesel,Individual,Automatic,Second Owner,9
350000,90000,Diesel,Individual,Manual,Second Owner,9
1400000,25000,Diesel,Dealer,Manual,First Owner,0
360000,4000,Petrol,Individual,Manual,First Owner,2
1300000,10000,Diesel,Individual,Manual,First Owner,2
800000,15000,Diesel,Individual,Manual,First Owner,5
229999,30000,Petrol,Individual,Manual,First Owner,2
315000,41000,Petrol,Dealer,Manual,First Owner,6
125000,28000,Petrol,Individual,Manual,First Owner,8
700000,16000,Petrol,Individual,Manual,First Owner,1
160000,70000,Petrol,Individual,Manual,First Owner,5
530000,10832,Petrol,Dealer,Manual,First Owner,3
624000,14681,Diesel,Dealer,Manual,First Owner,2
250000,50000,Petrol,Individual,Manual,First Owner,11
585000,51000,Diesel,Dealer,Manual,First Owner,4
500000,25000,Petrol,Individual,Manual,First Owner,5
350000,30000,Petrol,Individual,Manual,First Owner,6
495000,80000,Diesel,Dealer,Manual,First Owner,6
500000,50000,Petrol,Individual,Manual,First Owner,3
430000,200000,Diesel,Individual,Manual,First Owner,5
345000,44000,Petrol,Dealer,Manual,First Owner,7
500000,10000,Petrol,Individual,Manual,First Owner,5
425000,19600,Petrol,Individual,Manual,First Owner,1
80000,40000,Petrol,Individual,Manual,Second Owner,15
106000,50000,Diesel,Individual,Manual,First Owner,9
180000,46730,Petrol,Individual,Manual,First Owner,11
250000,40000,Petrol,Individual,Manual,Second Owner,5
350000,80000,Diesel,Individual,Manual,First Owner,9
60000,80000,Petrol,Individual,Manual,Second Owner,18
900000,24000,Diesel,Individual,Manual,First Owner,2
700000,21170,Diesel,Dealer,Manual,First Owner,3
2000000,167223,Diesel,Dealer,Automatic,First Owner,7
1000000,40000,Diesel,Individual,Manual,First Owner,3
1375000,60000,Diesel,Individual,Automatic,First Owner,9
1800000,141440,Diesel,Dealer,Manual,First Owner,4
160000,120000,Diesel,Individual,Manual,Third Owner,13
525000,140000,Petrol,Individual,Automatic,First Owner,8
850000,212814,Diesel,Dealer,Manual,First Owner,8
800000,30000,Diesel,Individual,Manual,First Owner,1
700000,88635,Diesel,Dealer,Manual,First Owner,3
800000,25000,Diesel,Individual,Manual,First Owner,2
575000,20000,Petrol,Individual,Manual,Second Owner,3
350000,110000,Diesel,Individual,Manual,Second Owner,8
250000,120000,Diesel,Individual,Manual,Third Owner,12
600000,149674,Diesel,Dealer,Manual,Second Owner,9
370000,100000,Diesel,Individual,Manual,Third Owner,13
80000,120000,Petrol,Individual,Manual,Third Owner,14
50000,120000,Diesel,Individual,Manual,Second Owner,17
900000,25000,Diesel,Individual,Manual,First Owner,2
300000,35000,Petrol,Individual,Manual,Second Owner,6
125000,40000,Petrol,Individual,Manual,First Owner,18
490000,60000,Diesel,Individual,Manual,Second Owner,5
300000,50000,Diesel,Individual,Manual,Second Owner,8
55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,7
350000,25000,Petrol,Individual,Manual,First Owner,4
755000,8000,Diesel,Individual,Manual,First Owner,1
720000,60000,Diesel,Individual,Manual,First Owner,3
229999,200000,Diesel,Individual,Manual,Third Owner,14
1100000,20000,Diesel,Individual,Manual,First Owner,2
400000,100000,Petrol,Individual,Manual,First Owner,7
350000,70000,Diesel,Individual,Manual,Second Owner,5
159000,68000,Diesel,Dealer,Manual,First Owner,8
550000,38000,Petrol,Dealer,Manual,First Owner,3
335000,80000,Diesel,Dealer,Manual,First Owner,7
185000,72000,CNG,Dealer,Manual,First Owner,6
229999,75000,CNG,Dealer,Manual,First Owner,8
225000,43000,Petrol,Dealer,Manual,First Owner,6
250000,120000,Petrol,Individual,Manual,Second Owner,13
400000,100000,Diesel,Individual,Manual,First Owner,5
470000,163000,Diesel,Individual,Manual,First Owner,6
300000,25000,Petrol,Individual,Automatic,First Owner,2
145000,25000,Petrol,Individual,Manual,First Owner,9
100000,90000,Petrol,Individual,Manual,Second Owner,13
500000,70000,Diesel,Individual,Manual,Second Owner,6
130000,98000,CNG,Individual,Manual,Second Owner,10
240000,81925,Diesel,Individual,Manual,First Owner,10
150000,80000,Diesel,Individual,Manual,Second Owner,7
270000,40000,Petrol,Individual,Manual,First Owner,3
400000,90000,Diesel,Individual,Manual,First Owner,6
200000,46000,Petrol,Individual,Manual,First Owner,8
550000,80000,Diesel,Individual,Manual,First Owner,8
325000,35000,Petrol,Individual,Manual,First Owner,2
860000,82080,Diesel,Individual,Automatic,First Owner,3
600000,200000,Diesel,Individual,Manual,First Owner,8
125000,70000,Petrol,Individual,Manual,First Owner,11
60000,40000,Petrol,Individual,Manual,Third Owner,20
300000,120000,Diesel,Individual,Manual,Third Owner,10
190000,60000,Petrol,Individual,Manual,Third Owner,13
400000,110000,Diesel,Individual,Manual,First Owner,7
260000,97000,Diesel,Individual,Manual,Second Owner,9
400000,30000,Petrol,Individual,Manual,First Owner,3
250000,40000,Petrol,Individual,Manual,First Owner,10
600000,10000,Petrol,Individual,Manual,First Owner,1
175000,52047,Petrol,Individual,Manual,First Owner,10
450000,200000,Diesel,Individual,Manual,Third Owner,9
350000,15000,Petrol,Individual,Automatic,Second Owner,1
800000,50000,Diesel,Individual,Manual,First Owner,2
250000,70000,Petrol,Individual,Manual,Second Owner,9
600000,10000,Petrol,Individual,Manual,First Owner,1
600000,90000,Diesel,Individual,Manual,First Owner,3
130000,40000,Petrol,Individual,Manual,First Owner,4
90000,62009,Petrol,Individual,Manual,Second Owner,14
595000,33100,Petrol,Individual,Manual,Second Owner,3
190000,40000,Petrol,Individual,Manual,Second Owner,6
50000,120000,Petrol,Individual,Manual,Second Owner,21
95000,80000,Petrol,Individual,Manual,First Owner,13
1000000,70000,Diesel,Individual,Manual,First Owner,4
220000,220000,Petrol,Individual,Manual,Second Owner,14
400000,50000,Diesel,Individual,Manual,First Owner,10
315000,45000,Petrol,Individual,Manual,Second Owner,5
1000000,110000,Diesel,Individual,Manual,First Owner,6
500000,49000,Diesel,Individual,Manual,First Owner,6
1600000,35000,Diesel,Individual,Automatic,First Owner,2
500000,160000,Diesel,Individual,Manual,First Owner,3
70000,180000,Petrol,Individual,Manual,Third Owner,13
105000,60000,Petrol,Individual,Manual,Second Owner,13
400000,110000,Diesel,Individual,Manual,Third Owner,12
80000,60000,Petrol,Individual,Manual,Third Owner,16
300000,30000,Petrol,Individual,Manual,First Owner,4
409999,40000,Diesel,Individual,Manual,First Owner,3
250000,70000,Petrol,Individual,Manual,First Owner,11
250000,120000,Diesel,Individual,Manual,Second Owner,10
215000,80000,Diesel,Individual,Manual,Third Owner,8
1400000,120000,Diesel,Individual,Manual,First Owner,5
475000,20000,Petrol,Individual,Manual,First Owner,2
475000,22000,Petrol,Individual,Manual,First Owner,2
75000,35000,Petrol,Individual,Manual,Second Owner,12
200000,120000,Diesel,Individual,Manual,Second Owner,7
575000,8000,Petrol,Individual,Manual,First Owner,1
150000,40000,Diesel,Individual,Manual,Second Owner,9
850000,10000,Diesel,Individual,Manual,First Owner,2
350000,30000,Petrol,Individual,Manual,First Owner,1
550000,54000,Diesel,Individual,Manual,Second Owner,9
330000,80577,Petrol,Individual,Manual,First Owner,3
1044999,25000,Diesel,Individual,Manual,First Owner,3
300000,127500,Diesel,Individual,Manual,Second Owner,9
235000,40903,Petrol,Dealer,Manual,First Owner,5
120000,60000,Petrol,Individual,Manual,Third Owner,9
130000,46000,Petrol,Individual,Manual,First Owner,16
275000,22288,Diesel,Dealer,Manual,Second Owner,16
270000,180000,Diesel,Individual,Manual,Second Owner,9
500000,30000,Diesel,Individual,Manual,Second Owner,5
400000,61690,Petrol,Dealer,Manual,First Owner,5
600000,64484,Petrol,Dealer,Manual,First Owner,5
1350000,90000,Diesel,Individual,Automatic,Second Owner,8
400000,75976,Diesel,Dealer,Manual,Second Owner,7
220000,70000,Diesel,Individual,Manual,Second Owner,9
300000,85962,Petrol,Dealer,Manual,Second Owner,8
250000,120000,Petrol,Individual,Manual,First Owner,2
600000,120000,Diesel,Individual,Manual,First Owner,5
285000,75000,Petrol,Individual,Automatic,Second Owner,8
350000,57035,Petrol,Dealer,Manual,First Owner,11
170000,70000,Diesel,Individual,Manual,Third Owner,9
229999,45000,Petrol,Individual,Manual,First Owner,5
500000,72104,Diesel,Dealer,Manual,Second Owner,7
75000,15000,Petrol,Individual,Manual,First Owner,9
600000,30000,Petrol,Individual,Manual,First Owner,4
220000,80000,Diesel,Individual,Manual,First Owner,9
150000,164000,Diesel,Individual,Manual,Second Owner,11
65000,124439,Petrol,Individual,Manual,Second Owner,14
120000,77000,Petrol,Individual,Manual,Second Owner,14
240000,90000,Diesel,Individual,Manual,First Owner,6
390000,30000,Petrol,Individual,Manual,First Owner,3
180000,50000,Petrol,Individual,Manual,First Owner,8
320000,80000,Diesel,Individual,Manual,Second Owner,8
310000,5000,Petrol,Individual,Manual,First Owner,2
420000,24000,Petrol,Individual,Automatic,First Owner,2
550000,10000,Petrol,Individual,Manual,First Owner,1
550000,78000,Diesel,Individual,Manual,Third Owner,4
760000,50000,Diesel,Individual,Manual,First Owner,2
43000,100000,Petrol,Individual,Manual,Second Owner,19
250000,20000,Petrol,Individual,Manual,First Owner,2
500000,1250,Petrol,Individual,Manual,First Owner,1
380000,17152,Petrol,Individual,Manual,First Owner,5
1850000,5000,Diesel,Individual,Automatic,First Owner,1
350000,77000,Diesel,Individual,Manual,First Owner,8
195000,90000,Diesel,Individual,Manual,Second Owner,12
225000,80000,Petrol,Individual,Manual,Second Owner,9
1125000,65000,Diesel,Individual,Manual,First Owner,5
133000,80000,Diesel,Individual,Manual,First Owner,9
200000,24005,Petrol,Individual,Manual,First Owner,7
940000,20000,Diesel,Individual,Manual,First Owner,2
400000,120000,Diesel,Individual,Manual,First Owner,6
120000,120000,Petrol,Individual,Manual,Second Owner,11
625000,80000,Diesel,Individual,Manual,First Owner,5
110000,80000,Petrol,Individual,Manual,First Owner,15
490000,100000,Diesel,Individual,Manual,First Owner,8
140000,120000,Petrol,Individual,Manual,Second Owner,11
175000,149000,Diesel,Individual,Manual,Second Owner,9
90000,65000,Petrol,Individual,Manual,Second Owner,15
275000,100000,Diesel,Individual,Manual,Second Owner,11
300000,65000,Diesel,Individual,Manual,Second Owner,9
270000,19000,Petrol,Individual,Manual,Second Owner,2
130000,80000,Petrol,Individual,Manual,Second Owner,10
275000,30000,Petrol,Individual,Manual,First Owner,5
352000,109000,Diesel,Individual,Manual,First Owner,8
180000,90000,LPG,Individual,Manual,First Owner,8
150000,90000,Petrol,Individual,Manual,First Owner,8
300000,110000,Diesel,Individual,Manual,Second Owner,10
225000,120000,Diesel,Individual,Manual,First Owner,13
600000,44000,Diesel,Individual,Manual,First Owner,6
500000,80000,Petrol,Individual,Manual,First Owner,5
900000,5000,Petrol,Individual,Manual,First Owner,2
600000,61000,Petrol,Individual,Manual,First Owner,4
450000,100000,Diesel,Individual,Manual,Second Owner,9
270000,27633,Petrol,Individual,Manual,First Owner,11
310000,100000,Diesel,Individual,Manual,Third Owner,10
250000,100000,LPG,Individual,Manual,First Owner,8
700000,12586,Petrol,Dealer,Manual,First Owner,1
650000,38083,Diesel,Dealer,Manual,First Owner,2
400000,55328,Diesel,Dealer,Manual,First Owner,8
425000,81632,Diesel,Dealer,Manual,First Owner,8
600000,155201,Diesel,Dealer,Manual,First Owner,4
600000,93283,Diesel,Dealer,Manual,First Owner,7
300000,217871,Diesel,Dealer,Manual,First Owner,11
450000,90165,Diesel,Dealer,Manual,First Owner,8
750000,101504,Diesel,Dealer,Manual,First Owner,6
325000,86017,Diesel,Dealer,Manual,Second Owner,10
900000,85036,Diesel,Dealer,Manual,Second Owner,7
180000,91086,Petrol,Dealer,Manual,Second Owner,14
350000,160254,Diesel,Dealer,Manual,Second Owner,7
600000,125531,Diesel,Dealer,Manual,Second Owner,7
900000,60000,Diesel,Individual,Manual,First Owner,1
350000,100000,Diesel,Individual,Manual,First Owner,14
280000,90000,Diesel,Individual,Manual,Third Owner,7
225000,120000,Diesel,Individual,Manual,Second Owner,11
520000,82000,Diesel,Individual,Manual,First Owner,6
509999,60000,Diesel,Individual,Manual,First Owner,4
556000,24000,Petrol,Individual,Manual,First Owner,1
225000,120000,Diesel,Individual,Manual,First Owner,6
325000,65000,Diesel,Dealer,Manual,First Owner,7
365000,65000,Diesel,Dealer,Manual,First Owner,7
850000,84000,Diesel,Dealer,Manual,First Owner,5
350000,75000,Diesel,Dealer,Manual,First Owner,7
225000,50000,Diesel,Dealer,Manual,First Owner,13
135000,50000,Petrol,Individual,Manual,First Owner,9
140000,49000,Petrol,Dealer,Manual,First Owner,13
665000,560000,Diesel,Dealer,Manual,First Owner,4
275000,14365,Petrol,Dealer,Manual,First Owner,5
2750000,41000,Diesel,Individual,Automatic,First Owner,3
484999,65000,Diesel,Dealer,Manual,First Owner,7
565000,65000,Diesel,Dealer,Manual,First Owner,5
425000,61083,Diesel,Dealer,Manual,First Owner,7
925000,75000,Diesel,Individual,Manual,First Owner,7
565000,72000,Diesel,Dealer,Manual,First Owner,8
525000,65000,Diesel,Dealer,Manual,First Owner,6
1650000,55000,Diesel,Dealer,Manual,First Owner,3
